totSellamnt,returnValue,drwNoDate,firstWinamnt,drwtNo6,drwtNo4,firstPrzwnerCo,drwtNo5,bnusNo,firstAccumamnt,drwNo,drwtNo2,drwtNo3,drwtNo1
3681782000,success,2002-12-07,0,40,33,0,37,16,863604600,1,23,29,10
4904274000,success,2002-12-14,2002006800,42,25,1,32,2,0,2,13,21,9
4729342000,success,2002-12-21,2000000000,31,21,1,27,30,0,3,16,19,11
5271464000,success,2002-12-28,0,42,31,0,40,2,1267147200,4,27,30,14
6277102000,success,2003-01-04,0,42,40,0,41,3,3041094900,5,24,29,16
15305356000,success,2003-01-11,6574451700,42,27,1,40,34,0,6,15,26,14
12794890000,success,2003-01-18,0,40,25,0,26,42,2600913000,7,9,16,2
20751450000,success,2003-01-25,0,39,34,0,37,9,7336896000,8,19,25,8
73624020000,success,2003-02-01,0,39,17,0,36,14,25803852000,9,4,16,2
260856392000,success,2003-02-08,6430437900,44,33,13,41,6,0,10,25,30,9
91925306000,success,2003-02-15,4780152300,42,37,5,41,14,0,11,7,36,1
76255508000,success,2003-02-22,1348845700,45,25,12,39,44,0,12,11,21,2
66532136000,success,2003-03-01,0,42,37,0,38,26,15599134800,13,23,25,22
99838648000,success,2003-03-08,9375048300,40,31,4,33,15,0,14,6,12,2
73264910000,success,2003-03-15,17014245000,37,30,1,31,13,0,15,4,16,3
75777348000,success,2003-03-22,4377146100,40,37,4,38,33,0,16,7,24,6
72718152000,success,2003-03-29,5349491200,37,17,3,32,1,0,17,4,9,3
66371660000,success,2003-04-05,0,35,19,0,32,29,15751560000,18,12,13,3
105957818000,success,2003-04-12,40722959400,43,39,1,40,26,0,19,30,38,6
81056776000,success,2003-04-19,19352212800,30,20,1,23,41,0,20,14,18,10
84247142000,success,2003-04-26,797475400,32,18,23,31,21,0,21,12,17,6
79455152000,success,2003-05-03,4552194900,39,8,4,17,25,0,22,5,6,4
77374256000,success,2003-05-10,4317947700,42,18,4,33,44,0,23,13,17,5
78486634000,success,2003-05-17,0,43,29,0,36,6,19010560200,24,8,27,7
120073768000,success,2003-05-24,24227745300,44,26,2,43,16,0,25,4,21,2
80193026000,success,2003-05-31,3495069900,25,18,5,20,31,0,26,5,7,4
76145050000,success,2003-06-07,9543982500,43,28,2,37,27,0,27,20,26,1
75448366000,success,2003-06-14,1700361100,37,25,10,35,1,0,28,18,23,9
74523120000,success,2003-06-21,3552594000,40,34,5,39,11,0,29,5,13,1
72399690000,success,2003-06-28,8728555500,44,35,2,36,4,0,30,17,20,8
71317306000,success,2003-07-05,8106672900,35,23,2,28,32,0,31,9,18,7
71179198000,success,2003-07-12,1634528300,44,25,10,34,11,0,32,14,19,6
67457252000,success,2003-07-19,14903517600,41,33,1,40,9,0,33,7,32,4
69389894000,success,2003-07-26,3056918000,42,37,5,40,2,0,34,26,35,9
66143062000,success,2003-08-02,5054598200,43,26,3,37,39,0,35,3,11,2
66856686000,success,2003-08-09,16014475800,40,26,1,28,31,0,36,10,23,1
65509794000,success,2003-08-16,4985999400,37,33,3,35,42,0,37,27,30,7
67369284000,success,2003-08-23,5374866400,43,30,3,37,36,0,38,17,22,16
66094476000,success,2003-08-30,2623748800,43,15,6,21,8,0,39,7,13,6
65699086000,success,2003-09-06,1147652400,26,19,13,25,6,0,40,13,18,7
57624562000,success,2003-09-13,0,43,35,0,38,34,13784904600,41,20,23,13
119909740000,success,2003-09-20,6899280100,32,21,6,23,1,0,42,18,19,17
74686296000,success,2003-09-27,17749630800,44,38,1,39,1,0,43,31,35,6
69956950000,success,2003-10-04,3362155800,45,30,5,38,39,0,44,11,21,3
71216232000,success,2003-10-11,8356417800,35,27,2,33,17,0,45,10,20,1
68181568000,success,2003-10-18,5327758800,38,23,3,31,39,0,46,13,15,8
67756694000,success,2003-10-25,3250042400,45,31,5,36,27,0,47,17,26,14
65806832000,success,2003-11-01,2415673600,38,26,6,37,3,0,48,10,18,6
64501142000,success,2003-11-08,1967504600,40,19,7,33,30,0,49,7,16,4
65563234000,success,2003-11-15,5227061400,44,15,3,22,1,0,50,10,12,2
62553680000,success,2003-11-22,2421117000,44,16,6,26,35,0,51,3,11,2
64393446000,success,2003-11-29,3900844900,29,16,4,20,1,0,52,4,15,2
64996010000,success,2003-12-06,5014371000,39,32,3,33,42,0,53,8,14,7
63833006000,success,2003-12-13,5148626600,39,27,3,36,37,0,54,8,21,1
62195764000,success,2003-12-20,7088799600,44,37,2,40,7,0,55,21,31,17
