drwNo, totSellamnt ,drwNoDate, firstWinamnt ,firstPrzwnerCo,bnusNo, firstAccumamnt ,drwtNo1,drwtNo2,drwtNo3,drwtNo4,drwtNo5,drwtNo6
1," \3,681,782,000 ",2002-12-07, \-   ,0,16," \863,604,600.00 ",10,23,29,33,37,40
2," \4,904,274,000 ",2002-12-14," \2,002,006,800.00 ",1,2, \-   ,9,13,21,25,32,42
3," \4,729,342,000 ",2002-12-21," \2,000,000,000.00 ",1,30, \-   ,11,16,19,21,27,31
4," \5,271,464,000 ",2002-12-28, \-   ,0,2," \1,267,147,200.00 ",14,27,30,31,40,42
5," \6,277,102,000 ",2003-01-04, \-   ,0,3," \3,041,094,900.00 ",16,24,29,40,41,42
6," \15,305,356,000 ",2003-01-11," \6,574,451,700.00 ",1,34, \-   ,14,15,26,27,40,42
7," \12,794,890,000 ",2003-01-18, \-   ,0,42," \2,600,913,000.00 ",2,9,16,25,26,40
8," \20,751,450,000 ",2003-01-25, \-   ,0,9," \7,336,896,000.00 ",8,19,25,34,37,39
9," \73,624,020,000 ",2003-02-01, \-   ,0,14," \25,803,852,000.00 ",2,4,16,17,36,39
10," \260,856,392,000 ",2003-02-08," \6,430,437,900.00 ",13,6, \-   ,9,25,30,33,41,44
11," \91,925,306,000 ",2003-02-15," \4,780,152,300.00 ",5,14, \-   ,1,7,36,37,41,42
12," \76,255,508,000 ",2003-02-22," \1,348,845,700.00 ",12,44, \-   ,2,11,21,25,39,45
13," \66,532,136,000 ",2003-03-01, \-   ,0,26," \15,599,134,800.00 ",22,23,25,37,38,42
14," \99,838,648,000 ",2003-03-08," \9,375,048,300.00 ",4,15, \-   ,2,6,12,31,33,40
15," \73,264,910,000 ",2003-03-15," \17,014,245,000.00 ",1,13, \-   ,3,4,16,30,31,37
16," \75,777,348,000 ",2003-03-22," \4,377,146,100.00 ",4,33, \-   ,6,7,24,37,38,40
17," \72,718,152,000 ",2003-03-29," \5,349,491,200.00 ",3,1, \-   ,3,4,9,17,32,37
18," \66,371,660,000 ",2003-04-05, \-   ,0,29," \15,751,560,000.00 ",3,12,13,19,32,35
19," \105,957,818,000 ",2003-04-12," \40,722,959,400.00 ",1,26, \-   ,6,30,38,39,40,43
20," \81,056,776,000 ",2003-04-19," \19,352,212,800.00 ",1,41, \-   ,10,14,18,20,23,30
21," \84,247,142,000 ",2003-04-26," \797,475,400.00 ",23,21, \-   ,6,12,17,18,31,32
22," \79,455,152,000 ",2003-05-03," \4,552,194,900.00 ",4,25, \-   ,4,5,6,8,17,39
23," \77,374,256,000 ",2003-05-10," \4,317,947,700.00 ",4,44, \-   ,5,13,17,18,33,42
24," \78,486,634,000 ",2003-05-17, \-   ,0,6," \19,010,560,200.00 ",7,8,27,29,36,43
25," \120,073,768,000 ",2003-05-24," \24,227,745,300.00 ",2,16, \-   ,2,4,21,26,43,44
26," \80,193,026,000 ",2003-05-31," \3,495,069,900.00 ",5,31, \-   ,4,5,7,18,20,25
27," \76,145,050,000 ",2003-06-07," \9,543,982,500.00 ",2,27, \-   ,1,20,26,28,37,43
28," \75,448,366,000 ",2003-06-14," \1,700,361,100.00 ",10,1, \-   ,9,18,23,25,35,37
29," \74,523,120,000 ",2003-06-21," \3,552,594,000.00 ",5,11, \-   ,1,5,13,34,39,40
30," \72,399,690,000 ",2003-06-28," \8,728,555,500.00 ",2,4, \-   ,8,17,20,35,36,44
31," \71,317,306,000 ",2003-07-05," \8,106,672,900.00 ",2,32, \-   ,7,9,18,23,28,35
32," \71,179,198,000 ",2003-07-12," \1,634,528,300.00 ",10,11, \-   ,6,14,19,25,34,44
33," \67,457,252,000 ",2003-07-19," \14,903,517,600.00 ",1,9, \-   ,4,7,32,33,40,41
34," \69,389,894,000 ",2003-07-26," \3,056,918,000.00 ",5,2, \-   ,9,26,35,37,40,42
35," \66,143,062,000 ",2003-08-02," \5,054,598,200.00 ",3,39, \-   ,2,3,11,26,37,43
36," \66,856,686,000 ",2003-08-09," \16,014,475,800.00 ",1,31, \-   ,1,10,23,26,28,40
37," \65,509,794,000 ",2003-08-16," \4,985,999,400.00 ",3,42, \-   ,7,27,30,33,35,37
38," \67,369,284,000 ",2003-08-23," \5,374,866,400.00 ",3,36, \-   ,16,17,22,30,37,43
39," \66,094,476,000 ",2003-08-30," \2,623,748,800.00 ",6,8, \-   ,6,7,13,15,21,43
40," \65,699,086,000 ",2003-09-06," \1,147,652,400.00 ",13,6, \-   ,7,13,18,19,25,26
41," \57,624,562,000 ",2003-09-13, \-   ,0,34," \13,784,904,600.00 ",13,20,23,35,38,43
42," \119,909,740,000 ",2003-09-20," \6,899,280,100.00 ",6,1, \-   ,17,18,19,21,23,32
43," \74,686,296,000 ",2003-09-27," \17,749,630,800.00 ",1,1, \-   ,6,31,35,38,39,44
44," \69,956,950,000 ",2003-10-04," \3,362,155,800.00 ",5,39, \-   ,3,11,21,30,38,45
45," \71,216,232,000 ",2003-10-11," \8,356,417,800.00 ",2,17, \-   ,1,10,20,27,33,35
46," \68,181,568,000 ",2003-10-18," \5,327,758,800.00 ",3,39, \-   ,8,13,15,23,31,38
47," \67,756,694,000 ",2003-10-25," \3,250,042,400.00 ",5,27, \-   ,14,17,26,31,36,45
